ปี,เดือน,ประเภทการทำการประมง,เครื่องมือ,ขนาดเรือ,พื้นที่ทำการประมง,ชนิดสัตว์น้ำ,ปริมาณ,มูลค่า
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 60 ตันกรอส ถึงน้อยกว่า 150 ตันกรอส,อ่าวไทย,ปลาเก๋า,44.00,"7,829.00"
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 60 ตันกรอส ถึงน้อยกว่า 150 ตันกรอส,อ่าวไทย,ปลาเลยหน้าดิน,616.00,"17,976.00"
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 60 ตันกรอส ถึงน้อยกว่า 150 ตันกรอส,อ่าวไทย,ปลาเลยผิวน้ำ,5.00,146.00
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 60 ตันกรอส ถึงน้อยกว่า 150 ตันกรอส,อ่าวไทย,ปลาเป็ด,"2,105.00","17,892.00"
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 60 ตันกรอส ถึงน้อยกว่า 150 ตันกรอส,อ่าวไทย,กุ้งโอคัก,3.00,436.00
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 60 ตันกรอส ถึงน้อยกว่า 150 ตันกรอส,อ่าวไทย,กั้งกระดาน,2.00,501.00
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 60 ตันกรอส ถึงน้อยกว่า 150 ตันกรอส,อ่าวไทย,หมึกกล้วย,165.00,"35,719.00"
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 60 ตันกรอส ถึงน้อยกว่า 150 ตันกรอส,อ่าวไทย,หมึกกระดอง,79.00,"12,529.00"
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 60 ตันกรอส ถึงน้อยกว่า 150 ตันกรอส,อ่าวไทย,หมึกสาย,7.00,835.00
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 60 ตันกรอส ถึงน้อยกว่า 150 ตันกรอส,อ่าวไทย,หอยเชลล์,33.00,"3,978.00"
